"","fklngth","totlngth","drlngth","rdwght","age","girth","sex","location","year"
"1",37.007874015748,40.748031496063,23.6220472440945,15.95,11,40.5,"MALE","THE_PAS","1978"
"2",50.1968503937008,54.1338582677165,31.496062992126,NA,24,53.5,"FEMALE","THE_PAS","1978"
"3",28.9370078740157,31.2992125984252,17.3228346456693,6.49,7,31,"MALE","THE_PAS","1978"
"4",50.1968503937008,53.1496062992126,32.2834645669291,NA,23,52.5,"FEMALE","THE_PAS","1978"
"5",45.5511811023622,49.5275590551181,32.0866141732283,29.92,20,50,"MALE","THE_PAS","1978"
"6",49.6062992125984,53.9370078740157,31.1023622047244,35.86,23,54.2,"FEMALE","THE_PAS","1978"
"7",47.7165354330709,51.3779527559055,33.9763779527559,33.88,20,48,"FEMALE","THE_PAS","1978"
"8",24.9606299212598,28.1496062992126,14.3307086614173,4.73,7,28.5,"MALE","THE_PAS","1978"
"9",45.748031496063,50.3937007874016,29.3307086614173,29.48,23,44,"MALE","THE_PAS","1978"
"10",40.3543307086614,44.2913385826772,33.8582677165354,18.04,19,39,"MALE","THE_PAS","1978"
"11",37.7952755905512,41.9291338582677,23.2283464566929,16.5,17,41,"MALE","THE_PAS","1978"
"12",42.244094488189,44.6850393700787,26.9685039370079,24.86,14,47,"MALE","THE_PAS","1978"
"13",43.1102362204724,46.8503937007874,26.3779527559055,22,21,43.5,"MALE","THE_PAS","1978"
"14",48.8188976377953,52.1653543307087,30.5905511811024,33.88,29,49,"MALE","THE_PAS","1978"
"15",48.8976377952756,53.9370078740157,29.9212598425197,35.86,23,52.5,"FEMALE","THE_PAS","1978"
"16",47.1653543307087,50.5905511811024,30.1574803149606,33,19,59.8,"MALE","THE_PAS","1978"
"17",35.3937007874016,38.503937007874,21.6141732283465,12.98,12,45.8,"MALE","THE_PAS","1978"
"18",31.7716535433071,35.2362204724409,20.0787401574803,9.46,8,43.6,"MALE","THE_PAS","1978"
"19",29.6850393700787,32.244094488189,17.5196850393701,7.92,7,40.4,"MALE","THE_PAS","1978"
"20",41.5354330708661,45.6692913385827,26.7716535433071,22,14,42,"MALE","THE_PAS","1978"
"21",45.8661417322835,49.2125984251969,28.3464566929134,23.98,19,44,"MALE","THE_PAS","1978"
"22",43.1889763779528,47.3228346456693,26.7322834645669,23.43,21,45,"MALE","THE_PAS","1979"
